Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,513.000000,516.849976,504.250000,506.149994,488.232697,86311
2020-11-03,510.000000,523.250000,509.750000,515.450012,497.203522,318039
2020-11-04,523.250000,530.000000,517.549988,518.349976,500.000824,295412
2020-11-05,523.000000,525.549988,516.200012,519.750000,501.351288,74782
2020-11-06,519.049988,528.849976,518.849976,527.150024,508.489258,783843
2020-11-09,531.000000,535.849976,523.950012,527.000000,508.344574,110194
2020-11-10,529.500000,529.500000,512.000000,515.099976,496.865814,118757
2020-11-11,515.250000,519.299988,505.500000,510.000000,493.623474,438269
2020-11-12,511.000000,522.000000,510.549988,518.250000,501.608521,366608
2020-11-13,518.500000,521.400024,512.599976,515.349976,498.801605,99135
2020-11-14,520.000000,520.349976,516.000000,517.599976,500.979462,18628
2020-11-17,521.000000,521.000000,509.250000,511.500000,495.075256,205662
2020-11-18,514.950012,514.950012,504.649994,505.100006,488.880798,164392
2020-11-19,505.200012,510.000000,500.950012,507.450012,491.155396,119698
2020-11-20,509.149994,513.650024,505.850006,508.299988,491.977997,393019
2020-11-23,509.799988,511.000000,505.200012,508.950012,492.607178,67542
2020-11-24,510.000000,511.000000,506.700012,508.000000,491.687683,49727
2020-11-25,506.100006,510.250000,500.000000,500.899994,484.815674,260389
2020-11-26,501.000000,504.950012,494.399994,504.149994,487.961273,295164
2020-11-27,506.000000,507.000000,497.000000,499.600006,483.557465,189661
2020-12-01,505.000000,506.950012,501.299988,505.950012,489.703522,56300
2020-12-02,506.799988,509.399994,497.350006,502.299988,486.170715,97664
2020-12-03,502.000000,506.850006,500.700012,501.299988,485.202820,74848
2020-12-04,504.500000,506.600006,501.649994,502.500000,486.364288,143370
2020-12-07,501.100006,505.350006,499.100006,501.950012,485.831970,220296
2020-12-08,502.000000,506.799988,499.299988,502.750000,486.606293,75567
2020-12-09,507.000000,509.450012,501.100006,502.049988,485.928711,214084
2020-12-10,503.000000,517.000000,502.500000,514.250000,497.736969,266935
2020-12-11,518.700012,519.349976,508.899994,513.799988,497.301422,133892
2020-12-14,516.000000,518.750000,512.400024,513.299988,496.817413,183806
2020-12-15,515.799988,517.099976,511.250000,514.000000,497.495026,49903
2020-12-16,514.000000,519.500000,512.549988,513.650024,497.156281,177259
2020-12-17,516.000000,517.349976,510.450012,511.200012,494.784912,126695
2020-12-18,511.549988,513.599976,503.200012,509.149994,492.800720,134300
2020-12-21,510.000000,515.000000,494.399994,503.649994,487.477325,174940
2020-12-22,501.100006,508.750000,492.450012,503.799988,487.622528,210824
2020-12-23,505.000000,512.750000,502.500000,510.500000,494.107391,180712
2020-12-24,513.500000,515.700012,508.200012,514.400024,497.882172,127313
2020-12-28,515.000000,527.150024,514.900024,525.349976,508.480499,173408
2020-12-29,527.900024,533.650024,524.500000,528.799988,511.819733,291726
2020-12-30,529.000000,540.599976,524.450012,539.650024,522.321411,207005
2020-12-31,539.500000,539.500000,532.000000,534.000000,516.852844,139218
2021-01-01,533.000000,538.299988,532.250000,533.950012,516.804382,97695
2021-01-04,537.950012,544.000000,532.950012,543.349976,525.902527,129690
2021-01-05,540.250000,542.200012,535.549988,538.750000,521.450256,95195
2021-01-06,544.000000,544.000000,530.000000,533.750000,516.610901,137129
2021-01-07,539.000000,539.200012,533.500000,535.650024,518.449890,83808
2021-01-08,538.750000,542.299988,534.299988,539.799988,522.466553,142414
2021-01-11,544.500000,549.200012,540.250000,546.349976,528.806274,101121
2021-01-12,546.900024,551.000000,538.299988,540.750000,523.386108,83109
2021-01-13,544.000000,545.000000,533.900024,535.950012,518.740234,84788
2021-01-14,542.000000,552.349976,537.000000,549.000000,531.371094,162291
2021-01-15,550.549988,552.000000,539.400024,540.799988,523.434448,92690
2021-01-18,540.000000,544.950012,533.049988,537.049988,519.804932,148571
2021-01-19,537.000000,547.000000,537.000000,541.400024,524.015259,45205
2021-01-20,542.099976,544.599976,536.549988,537.349976,520.095215,53421
2021-01-21,540.000000,546.000000,535.549988,537.200012,519.950073,92961
2021-01-22,542.250000,542.250000,531.750000,532.950012,515.836548,122071
2021-01-25,536.549988,541.000000,525.150024,532.700012,515.594604,69821
2021-01-27,533.000000,537.349976,525.650024,527.700012,510.755096,49586
2021-01-28,525.000000,534.900024,520.900024,527.599976,510.658325,72864
2021-01-29,531.000000,532.250000,511.350006,515.250000,498.704865,200429
2021-02-01,517.000000,536.099976,516.000000,525.299988,508.432129,146861
2021-02-02,533.000000,535.549988,524.500000,526.200012,509.303345,92400
2021-02-03,529.000000,529.000000,523.049988,524.549988,507.706268,59406
2021-02-04,529.400024,529.750000,524.549988,526.150024,509.254913,30739
2021-02-05,525.099976,528.599976,517.599976,521.799988,505.044525,85219
2021-02-08,521.000000,526.299988,517.400024,518.500000,501.850525,102837
2021-02-09,522.500000,532.099976,519.049988,524.950012,508.093414,149336
2021-02-10,529.849976,529.849976,522.200012,524.500000,507.657837,47149
2021-02-11,528.700012,536.500000,525.000000,535.750000,518.546570,123799
2021-02-12,542.000000,544.500000,532.000000,534.049988,516.901184,103258
2021-02-15,538.000000,540.700012,526.299988,527.299988,510.367950,67939
2021-02-16,531.000000,532.599976,520.549988,522.500000,505.722107,41956
2021-02-17,522.700012,526.000000,519.000000,520.250000,503.544312,35297
2021-02-18,523.000000,527.900024,518.299988,520.200012,503.495972,116953
2021-02-19,515.650024,515.650024,507.549988,513.250000,496.769135,12793880
2021-02-22,514.000000,516.400024,497.299988,500.750000,484.670502,97881
2021-02-23,503.000000,505.750000,498.899994,499.899994,483.847778,115956
2021-02-24,501.200012,506.649994,483.000000,504.350006,488.154907,373961
